,Active Players,Age,Pos.,Status,Adj. Salary
11870,Andres Gimenez,23,2B,Pre-Arb,"$706,600"
11871,Bailey Ober,26,SP,Pre-Arb,"$706,200"
11872,Keegan Thompson,27,SP,Pre-Arb,"$706,000"
11873,Dean Kremer,26,SP,Pre-Arb,"$705,500"
11874,Edward Olivares,26,OF,Pre-Arb,"$705,500"
11875,Hoby Milner,31,RP,Arb 1,"$705,100"
11876,Cionel Perez,26,RP,Pre-Arb,"$705,000"
11877,Yonathan Daza,28,CF,Pre-Arb,"$705,000"
11878,Seth Brown,29,LF,Pre-Arb,"$705,000"
11879,Cole Irvin,28,SP,Pre-Arb,"$705,000"
11880,James Kaprielian,28,SP,Pre-Arb,"$705,000"
11881,A.J. Puk,27,RP,Pre-Arb,"$705,000"
11882,Zach Thompson,28,RP,Pre-Arb,"$705,000"
11883,Aaron Ashby,24,SP,Pre-Arb,"$704,500"
11884,Garrett Stubbs,29,C,Pre-Arb,"$704,500"
11885,Adrian Morejon,23,RP,Pre-Arb,"$704,500"
11886,Taylor Walls,25,SS,Pre-Arb,"$704,000"
11887,Joe Barlow,26,RP,Pre-Arb,"$704,000"
11888,Camilo Doval,24,RP/CL,Pre-Arb,"$703,750"
11889,Alex Lange,26,RP,Pre-Arb,"$703,700"
11890,Daniel Lynch,25,SP,Pre-Arb,"$703,600"
11891,Josiah Gray,24,SP,Pre-Arb,"$703,500"
11892,Trevor Stephan,26,RP,Pre-Arb,"$703,400"
11893,Dylan Carlson,23,RF,Pre-Arb,"$703,000"
11894,Sam Hentges,25,RP,Pre-Arb,"$702,500"
11895,Eli Morgan,26,RP,Pre-Arb,"$702,100"
11896,Joe Ryan,26,SP,Pre-Arb,"$701,650"
11897,Keegan Akin,27,RP,Pre-Arb,"$701,640"
11898,Geraldo Perdomo,22,SS,Pre-Arb,"$701,300"
11899,Owen Miller,25,1B,Pre-Arb,"$701,100"
11900,Dylan Coleman,25,RP,Pre-Arb,"$700,650"
11901,Bryan Baker,27,RP,Pre-Arb,"$700,500"
11902,Rougned Odor,28,2B,Vet,"$700,000"
11903,Javier Assad,24,SP,Pre-Arb,"$700,000"
11904,Chase Anderson,34,SP,Vet,"$700,000"
11905,Fernando Cruz,0,RP,Pre-Arb,"$700,000"
11906,Alexis Diaz,25,RP/CL,Pre-Arb,"$700,000"
11907,Hunter Greene,22,SP,Pre-Arb,"$700,000"
11908,Derek Law,31,RP,Arb 1,"$700,000"
11909,Steven Kwan,24,LF,Pre-Arb,"$700,000"
11910,Cody Morris,25,SP,Pre-Arb,"$700,000"
11911,Daniel Norris,29,RP,Vet,"$700,000"
11912,Jeremy Pena,24,SS,Pre-Arb,"$700,000"
11913,Bobby Witt Jr.,22,SS,Pre-Arb,"$700,000"
11914,Jhoan Duran,24,RP,Pre-Arb,"$700,000"
11915,Billy Hamilton,31,CF,Vet,"$700,000"
11916,Domingo Acevedo,28,RP,Pre-Arb,"$700,000"
11917,Andre Pallante,23,RP,Pre-Arb,"$700,000"
11918,Shawn Armstrong,31,RP,Arb 2,"$700,000"
11919,Kevin Plawecki,31,C,Arb 4,"$700,000"
11920,Joey Meneses,30,1B,Pre-Arb,"$700,000"
11921,Michael Brosseau,28,3B,Pre-Arb,"$698,580"
11922,Will Vest,27,RP,Pre-Arb,"$696,126"
11923,Chas McCormick,27,CF,Pre-Arb,"$696,060"
11924,Kyle Isbel,25,RF,Pre-Arb,"$694,260"
11925,Gilberto Celestino,23,LF,Pre-Arb,"$687,436"
11926,Cal Raleigh,25,C,Pre-Arb,"$683,574"
11927,Jackson Stephens,28,RP,Pre-Arb,"$680,742"
11928,Griffin Jax,27,RP,Pre-Arb,"$680,742"
11929,Caleb Ferguson,25,RP,Arb 1,"$678,640"
11930,Nick Lodolo,24,SP,Pre-Arb,"$673,050"
11931,Andrew Bellatti,30,RP,Pre-Arb,"$673,050"
11932,Gavin Sheets,26,DH,Pre-Arb,"$671,067"
11933,Bryson Stott,24,2B,Pre-Arb,"$669,204"
11934,Ryan McKenna,25,CF,Pre-Arb,"$669,164"
11935,William Contreras,24,C,Pre-Arb,"$667,071"
11936,Steven Wilson,27,RP,Pre-Arb,"$665,358"
11937,Hunter Harvey,27,RP,Pre-Arb,"$661,512"
11938,Brady Singer,25,SP,Pre-Arb,"$650,370"
11939,Nick Sandlin,25,RP,Pre-Arb,"$647,640"
11940,Reid Detmers,22,SP,Pre-Arb,"$647,566"
11941,Jason Foley,26,RP,Pre-Arb,"$647,472"
11942,Chase De Jong,28,RP,Pre-Arb,"$646,128"
11943,Penn Murfee,28,RP,Pre-Arb,"$646,128"
11944,Erasmo Ramirez,32,RP,Vet,"$646,128"
11945,Bryan De La Cruz,25,CF,Pre-Arb,"$643,914"
11946,Bobby Dalbec,27,1B,Pre-Arb,"$643,372"
11947,Kris Bubic,24,SP,Pre-Arb,"$643,208"
11948,Enyel De Los Santos,26,RP,Pre-Arb,"$642,282"
11949,Glenn Otto,26,SP,Pre-Arb,"$642,282"
11950,Aristides Aquino,28,RF,Pre-Arb,"$640,096"
11951,Abraham Toro-Hernandez,25,3B,Pre-Arb,"$638,067"
11952,Connor Brogdon,27,RP,Pre-Arb,"$636,498"
11953,Nabil Crismatt,27,RP,Pre-Arb,"$634,240"
11954,Brendan Donovan,25,LF,Pre-Arb,"$630,744"
11955,Matt Reynolds,31,3B,Pre-Arb,"$623,052"
11956,Kyle Bradish,25,SP,Pre-Arb,"$615,360"
11957,Kirby Snead,27,RP,Pre-Arb,"$615,360"
11958,Matt Festa,29,RP,Pre-Arb,"$615,360"
11959,Matt Vierling,25,OF,Pre-Arb,"$615,012"
11960,Joey Bart,25,C,Pre-Arb,"$614,146"
11961,Connor Overton,28,RP,Pre-Arb,"$611,514"
11962,MJ Melendez,23,DH,Pre-Arb,"$603,822"
11963,John Schreiber,28,RP,Pre-Arb,"$599,976"
11964,Jose Miranda,24,SS,Pre-Arb,"$596,130"
11965,Keston Hiura,25,2B,Pre-Arb,"$592,722"
11966,Jake Meyers,26,OF,Pre-Arb,"$589,504"
11967,Austin Voth,30,SP,Arb 1,"$576,960"
11968,Joel Kuhnel,27,RP,Pre-Arb,"$576,900"
11969,Luis Rengifo,25,2B,Pre-Arb,"$576,900"
11970,Isaac Paredes,23,3B,Pre-Arb,"$576,900"
11971,Jake Cousins,27,RP,Pre-Arb,"$570,507"
11972,Buck Farmer,31,RP,Arb 3,"$569,740"
11973,C.J. Edwards,30,RP,Arb 4,"$569,208"
